"Molecule ChEMBL ID","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","Target ChEMBL ID","Energy","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumUnspecifiedStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","slogp_VSA1","slogp_VSA2","slogp_VSA3","slogp_VSA4","slogp_VSA5","slogp_VSA6","slogp_VSA7","slogp_VSA8","slogp_VSA9","slogp_VSA10","slogp_VSA11","slogp_VSA12","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA8","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN4","MQN5","MQN6","MQN7","MQN8","MQN9","MQN10","MQN11","MQN12","MQN13","MQN14","MQN15","MQN16","MQN17","MQN18","MQN19","MQN20","MQN21","MQN22","MQN23","MQN24","MQN25","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN33","MQN34","MQN35","MQN36","MQN37","MQN38","MQN39","MQN40","MQN41","MQN42"
"CHEMBL3634962","Cc1cc(S(=O)(=O)N(Cc2ccc(CCNC(=O)OC(C)(C)C)cc2)[C@H](C)C(=O)NO)ccc1F","IC50","'='",6900,"nM","CHEMBL4372",-14.808831099996102,3.2861200000000013,127.63970000000006,250.0003732403233,125.04,509.5999999999997,509.19958496400085,9,3,12,3,6,2,11,35,67,1,0,2,2,0,0,0,0,0,2,0,0,0.4166666666666667,17.39383987368387,9.71618198521825,7.390692109398244,4.612140905677725,2.899597126540698,24.07879413788139,5.667162767607957,3.1375313796897975,1.7760589134823173,-3.0199999999999996,7.269120567533102,11.606655891247183,8.013703795374555,10.782934700691623,48.048769560608164,32.42447587692478,12.669112958341575,83.84992107321007,47.192414429160834,4.254883813889036,0,0,9.184952231746642,0,0,76.35056511781671,0,15.088150691987856,0,63.64367192697482,6.496859684315945,64.80450626977995,0,0,22.023710953697503,10.046676307088426,10.00407100511562,23.075870563478823,4.305215991296234,0,24.16967483065318,75.44999608588864,41.77964904820653,15.861551924879533,17.436164120379228,2.8236841566564013,11.454490810640218,5.907179729351506,6.093240070938415,24,1,0,0,0,1,0,3,0,6,0,35,52,4,0,6,6,0,12,15,9,0,0,0,0,5,2,5,11,0,12,0,0,0,0,2,0,0,0,0,0,0
"CHEMBL3634976","CC(=O)NCCCCCCN([C@H](C)C(=O)NO)S(=O)(=O)c1ccc(F)c(C)c1","IC50","'='",3900,"nM","CHEMBL4372",2.8839060558411105,1.7152200000000002,101.57170000000004,204.20985180408113,115.81,417.50299999999964,417.17337021600076,8,3,15,3,5,2,10,28,56,1,0,1,1,0,0,0,0,0,1,0,0,0.5555555555555556,13.985591583220007,7.8079336947543885,5.771688864174478,3.7635940371695855,2.2861212412681473,20.170545847417525,4.048159522384189,2.288984511181656,1.2082265746685323,-2.04,5.554563911108963,11.080997128189646,6.843874480266604,10.782934700691623,48.75851809235351,19.612365521551226,12.669112958341575,79.02789923586137,23.02273959850766,4.254883813889036,0,0,4.39041504767482,0,0,66.1306679393358,0,15.088150691987856,0,56.96075190107197,12.99371936863189,29.507928455732774,0,0,21.837650612110593,5.309813353288376,14.79860818918744,18.281333379407002,4.305215991296234,0,12.745849802658759,50.14034165193699,48.63154116550223,10.378517700198655,11.83511330939554,2.8236841566564013,17.361670539991724,5.907179729351506,0,18,1,0,0,0,1,0,3,0,5,0,28,46,4,0,3,3,0,15,13,8,0,0,0,0,5,1,5,11,0,6,0,0,0,0,1,0,0,0,0,0,0
"CHEMBL3634975","CC(=O)NCCc1ccc(CN([C@H](C)C(=O)NO)S(=O)(=O)c2ccc(F)c(C)c2)cc1","IC50","'='",3200,"nM","CHEMBL4372",20.02066904063509,1.8975199999999997,112.08670000000004,217.36217866661974,115.81,451.51999999999975,451.1577201520007,8,3,13,3,5,2,10,31,57,1,0,2,2,0,0,0,0,0,2,0,0,0.3333333333333333,15.485591583220007,8.80793369475439,6.646688864174478,4.38199573660708,2.7509391101125344,20.17054584741753,4.923159522384191,2.9073862106191504,1.6274008970541558,-2.819999999999999,6.8371719349807245,10.470696850927443,6.329257347087455,10.782934700691623,42.26165840803756,32.48215010719655,12.669112958341575,61.92158550159747,47.192414429160834,4.254883813889036,0,0,4.39041504767482,0,0,63.389150826995355,0,15.088150691987856,0,44.33883688139977,6.496859684315945,64.80450626977995,0,0,21.837650612110593,5.309813353288376,14.79860818918744,18.281333379407002,4.305215991296234,0,24.16967483065318,54.894319734001606,40.40698982848089,15.861551924879533,11.83511330939554,2.8236841566564013,17.361670539991724,5.907179729351506,0,21,1,0,0,0,1,0,3,0,5,0,31,42,4,0,6,6,0,13,13,8,0,0,0,0,5,1,5,8,0,12,0,0,0,0,2,0,0,0,0,0,0
"CHEMBL200013","O=C(O)CN1C(=O)/C(=C/c2ncc(-c3ccc(Cl)cc3)s2)SC1=S","IC50","'='",10000,"nM","CHEMBL4372",-23.213912565272917,3.7493000000000016,100.07480000000002,168.2363999591614,70.5,396.9019999999999,395.9463828280003,5,1,4,1,7,1,9,24,33,0,0,3,2,1,1,1,1,1,1,0,0,0.06666666666666667,14.427300095593957,8.359215312438504,7.032067905805546,4.8179076065395705,3.5314677022862173,10.348257677573823,4.010845192000965,2.472116213566853,1.5399111550876559,-1.7399999999999987,9.09509397162031,7.019036912085542,3.66879045389832,0,37.686575230083164,9.589074368143644,0,15.973692146214525,35.247706555357986,5.022633313741326,17.923870088666497,0,0,0,46.91748416060507,25.663951008612614,1.4311996572326342,9.883888251797686,0,0,6.496859684315945,45.27796356595208,0,10.440598685398296,69.16657500950295,5.1088081911072125,14.48898409899412,4.9839785209472085,0,11.336785877934737,47.665535697996916,23.70036065305915,11.195528524556087,20.748352156953104,15.825017466727683,0,0,7.33837938658414,5.969305287951849,15,0,1,0,0,3,0,0,2,3,0,24,15,4,0,11,5,0,4,8,5,0,0,0,0,4,1,2,1,3,13,0,0,0,2,1,0,0,0,0,0,0
"CHEMBL381215","O=C(O)CN1C(=O)/C(=C/c2ccc(-c3ccccc3[N+](=O)[O-])o2)SC1=S","IC50","'='",3100,"nM","CHEMBL4372",0.3352457463681886,3.140600000000002,98.31320000000001,169.92539796766616,113.89,390.39799999999985,389.99802804000024,8,1,5,1,8,1,10,26,36,0,0,3,2,1,1,1,1,1,1,0,0,0.0625,13.793406676566274,7.61731359591707,5.997131795437419,4.041035493279491,2.8702650234622267,11.300817014989343,4.352944321404847,2.7704600512597617,1.7749216738831994,-2.979999999999999,9.101388753624018,7.099208137526081,3.506018829107629,0,37.62590775795363,9.589074368143644,10.114318268765572,18.097074424406422,45.57679969692317,0,18.80697031383964,0,5.687386274683562,0,23.97975839243781,36.37517155065386,1.4311996572326342,4.899909730850478,0,0,6.496859684315945,57.034214447509825,0,11.323698910571437,51.916235516019256,9.52595912816056,24.603302367759692,0,0,0,36.064595807764405,18.127256122989884,12.09449045369886,27.72872605993669,22.3378886076238,0,0,13.025765661267702,5.969305287951849,16,0,0,0,0,2,0,1,1,5,1,26,17,5,0,11,5,0,5,15,8,0,0,1,1,5,1,3,1,2,14,0,0,0,2,1,0,0,0,0,0,0
"CHEMBL199941","O=C1NC(=S)NC(=O)C1=Cc1ccc(-c2cc(C(F)(F)F)ccc2Cl)o1","IC50","'='",1300,"nM","CHEMBL4372",-58.72602139461144,3.533100000000001,91.01639999999998,165.71434360629203,71.34,400.7649999999999,399.9896254560002,5,2,2,2,4,2,10,26,34,0,0,3,2,1,1,1,1,1,1,0,0,0.0625,13.611703771838457,7.207189626651118,5.306650625708417,3.2976454271911595,2.094710103702039,10.315404054177943,4.563537781029076,2.8315978865991838,1.7485748966655354,-2.6499999999999986,10.48697574001605,6.579362464056162,3.630382561957936,10.619626706576751,16.926796343427768,15.76537288558712,0,19.548250247592755,40.20234900543909,7.846317470397728,17.375770656607003,0,13.171245143024459,0,23.81881333327921,38.225705941899186,0,10.619626706576751,0,6.176298517443475,0,52.1315302926985,0,11.323698910571437,46.79768142274255,4.417150937053347,20.208701074720395,0,13.171245143024459,0,11.600939890232516,48.48203872739873,5.563451491696996,18.81063614245964,17.09359936781815,7.93612104138116,0,11.814359458703011,6.176298517443475,16,3,1,0,0,1,0,0,2,2,1,26,15,4,0,12,5,0,2,8,5,0,0,0,0,7,0,1,1,1,16,0,0,0,1,2,0,0,0,0,0,0
"CHEMBL200421","O=C(O)CN1C(=O)/C(=C/c2ccc(-c3ccccc3)s2)SC1=S","IC50","'='",741.31,"nM","CHEMBL4372",-12.833224370732236,3.7009000000000025,97.26980000000002,161.52342675166886,57.61,361.46899999999977,360.99010621200034,4,1,4,1,6,1,7,23,34,0,0,3,2,1,1,1,1,1,1,0,0,0.0625,13.346193081066316,7.845055007424706,6.537035938762051,4.609314862675644,3.4660945700120704,11.212061845569252,3.872227738569821,2.4201807671122233,1.5313167121212847,-1.9599999999999984,7.292258696135469,6.6550531456478055,3.520677609485775,0,32.70259670913596,9.589074368143644,0,18.584732755403497,47.20206746753311,0,17.923870088666497,0,0,0,35.316544270372546,28.405468120953053,1.4311996572326342,4.899909730850478,0,0,6.496859684315945,52.07921466123441,0,10.440598685398296,57.56563511927044,5.1088081911072125,14.48898409899412,0,0,11.336785877934737,54.19185193075428,23.70036065305915,9.754294387402599,18.612722075592245,10.817393769874915,0,0,7.33837938658414,5.969305287951849,16,0,0,0,0,3,0,0,1,3,0,23,16,4,0,11,5,0,4,7,4,0,0,0,0,3,1,2,1,2,14,0,0,0,2,1,0,0,0,0,0,0
"CHEMBL371478","O=C(O)CN1C(=O)/C(=C/c2ccc(-c3cc(C(F)(F)F)ccc3Cl)o2)SC1=S","IC50","'='",190,"nM","CHEMBL4372",10.453470621700662,4.904600000000002,101.6708,183.03226629505554,70.75,447.84299999999996,446.96136210800023,5,1,4,1,6,1,11,28,37,0,0,3,2,1,1,1,1,1,1,0,0,0.11764705882352941,15.297483338193953,8.41245184552466,6.831120991158869,4.524439596024254,3.1326155113822463,11.217990791587706,4.8089690441170685,2.970390799247605,1.8569596469342373,-2.299999999999998,11.641123625537354,7.609180656944316,4.234981221976011,0,32.70259670913596,15.76537288558712,0,22.289767359933194,39.53438098925987,5.022633313741326,18.80697031383964,0,13.171245143024459,0,35.580698282670326,43.252347088690456,1.4311996572326342,4.899909730850478,0,6.176298517443475,6.496859684315945,51.46356227651928,0,11.323698910571437,57.82978913156822,9.52595912816056,14.48898409899412,0,13.171245143024459,0,35.580698282670326,30.212093538316473,11.615523237732562,26.457289768690124,22.3378886076238,0,0,7.33837938658414,12.145603805395325,17,3,1,0,0,2,0,0,1,3,1,28,19,4,0,11,5,0,4,9,5,0,0,0,0,7,1,2,2,2,14,0,0,0,2,1,0,0,0,0,0,0
"CHEMBL372792","COc1ccc(-c2ccc(/C=C3\SC(=S)N(CC(=O)O)C3=O)o2)cc1Cl","IC50","'='",295.12,"nM","CHEMBL4372",-10.61984567803309,3.894400000000002,103.22080000000003,179.86411681628718,79.98,409.87199999999996,408.98454216400023,6,1,6,1,7,1,9,26,38,0,0,3,2,1,1,1,1,1,1,0,0,0.11764705882352941,14.571838209630135,8.003753426474685,6.389548139964129,4.294081221592372,2.9991909066197526,12.30929237253773,4.367396192922333,2.7573718680869823,1.7235350421717397,-2.2899999999999996,8.599095211604197,7.527031201774966,3.768187416607958,4.736862953800049,39.740549168018546,9.589074368143644,0,20.83859153674686,39.534380989259866,5.022633313741326,18.80697031383964,0,0,5.749511833283905,35.580698282670326,38.93024056797668,1.4311996572326342,4.899909730850478,0,0,13.534812143198533,45.90011078482229,0,17.07321074385534,57.82978913156822,14.262822081960607,14.48898409899412,0,0,0,35.580698282670326,30.212093538316473,11.615523237732562,32.04406640438638,28.087400440907707,0,0,7.33837938658414,5.969305287951849,17,0,1,0,0,2,0,0,1,4,1,26,20,4,0,11,5,0,6,11,6,0,0,0,0,4,2,2,2,2,14,0,0,0,2,1,0,0,0,0,0,0
"CHEMBL446705","O=C(O)CN1C(=O)S/C(=C\c2ccc(-c3ccc(Cl)c(Cl)c3)o2)C1=O","IC50","'='",5600,"nM","CHEMBL4372",-44.50482526193712,4.374300000000002,94.47680000000003,168.2767260516008,87.82,398.2229999999999,396.95784874800023,6,1,4,1,6,2,9,25,34,0,0,3,2,1,1,1,1,1,1,0,0,0.0625,13.980986757266226,7.754203555060798,5.96773444579502,4.14655730423931,2.602446862603937,10.59002631857848,4.250192211579048,2.644877289331123,1.649430609936669,-2.2199999999999993,9.47000438528689,6.952252101690133,3.7326576479577724,0,33.62127433674927,9.589074368143644,0,16.726315868236203,39.53438098925987,10.045266627482652,18.80697031383964,0,4.794537184071822,0,34.963764729856145,34.87563912973779,1.4311996572326342,4.899909730850478,0,0,6.496859684315945,50.922744098563605,0,11.323698910571437,58.13153320636736,9.52595912816056,19.28352128306594,0,0,0,23.20187978046503,41.97397848770759,11.615523237732562,25.916471590734456,18.017354522064828,0,0,12.577591099756427,5.969305287951849,16,0,2,0,0,1,0,0,1,4,1,25,16,4,0,11,5,0,4,11,6,0,0,0,0,5,1,2,1,2,14,0,0,0,2,1,0,0,0,0,0,0
